date,month,quarter,season,doy,global_lux,direct_lux,diffuse_lux,pressure,snow,temp,temp_max,temp_min,ts,dew_point,wind_speed,wind_direction,uv_index,albedo,optical_depth_55,optical_depth_84,clearness,precip,humidity_specific,humidity_relative,cloud_amt,cloud_depth,water
2012-01-11,Jan,1,Winter,11,14929.89,9207.1,12165.41,97.69,0,10.15,13.45,7.23,9.8,9.36,2.56,201.81,0.28,0.13,0.2,0.13,0.65,37.99,7.57,94.44,96.91,19.47,2.19
2012-01-12,Jan,1,Winter,12,7013.24,5991.11,5280.99,98.24,8.59,2.05,7.11,-4.74,2.02,-0.28,3.55,255.94,0.12,0.12,0.18,0.12,0.68,2.13,4.09,85.06,98.22,36.05,0.95
2012-01-13,Jan,1,Winter,13,19813.79,22349.79,12973.53,99.38,10.94,-2.99,0.8,-5.13,-2.82,-6.42,2.54,261.94,0.25,0.14,0.06,0.04,0.73,0.01,2.32,78.56,67.95,6.97,0.48
2012-01-14,Jan,1,Winter,14,21947.36,22810.5,15082.2,99.58,9.38,0.02,6.43,-4.66,-0.33,-1.85,2.19,234.38,0.28,0.13,0.22,0.14,0.68,0.04,3.36,88.69,38.88,5.52,0.67
2012-01-15,Jan,1,Winter,15,35072.16,87569.1,7340.96,100.37,8.59,0.12,6.12,-4.38,0.11,-2.91,1.44,173.81,0.4,0.15,0.06,0.04,0.72,0,3.05,82.12,19.97,NA,0.63
2012-01-16,Jan,1,Winter,16,8982.45,5387.45,7418.74,99.68,7.03,7.27,10.67,1.46,6.71,4.68,4.45,182.94,0.16,0.13,0.37,0.23,0.59,0.95,5.43,83.69,94.45,19.21,1.66
2012-01-17,Jan,1,Winter,17,7974.09,5420.23,6476.27,99.19,0,9.54,17.05,-2.27,9.08,7.6,4.48,260.31,0.15,0.12,0.3,0.2,0.62,8.21,7.14,87.88,95.19,28.93,1.9
2012-01-18,Jan,1,Winter,18,26135.49,28054.61,17017.83,99.84,4.69,-1.84,2.5,-5.75,-1.53,-5.55,1.34,200.12,0.43,0.13,0.03,0.02,0.76,0.33,2.5,78.19,80.46,5.52,0.39
2012-01-19,Jan,1,Winter,19,22349.7,21917.26,16114.79,99.23,13.28,1.84,8.44,-3.98,0.58,-1.22,1.6,200.06,0.28,0.14,0.09,0.05,0.71,0.01,3.54,81.44,64.75,3.48,0.87
2012-01-20,Jan,1,Winter,20,11394.59,6921.09,9152.36,98.86,14.06,8.67,14.98,1.86,8.45,7.47,1.83,131.19,0.21,0.13,0.3,0.2,0.64,6.02,6.9,92.12,93.16,20.41,1.8
